SimulationIndex,Time,Distance,Velocity,Max Velocity,Acceleration,Motor Power,Battery Power,Battery Energy
79,0.11393884640916187,0.4,5.162627141235932,100,21.84710293094827,285000.0,285000.0,32472.571226611115
80,0.11490734555953883,0.405,5.183699434955846,100,21.75767909730506,285000.0,285000.0,32748.593484468547
81,0.11587190765707922,0.41000000000000003,5.2046012087032905,100,21.669702552840242,285000.0,285000.0,33023.49368226756
82,0.11683259605557532,0.41500000000000004,5.225335873941401,100,21.583132752065946,285000.0,285000.0,33297.28987583895
83,0.11778947234460677,0.42,5.245906734143087,100,21.497930753940967,285000.0,285000.0,33569.99961821291
84,0.11874259641893645,0.425,5.266316989438788,100,21.414059140258612,285000.0,285000.0,33841.639979396874
85,0.1196920265443974,0.43,5.286569741012492,100,21.331481939096886,285000.0,285000.0,34112.22756515325
86,0.12063781942048692,0.435,5.306667995262394,100,21.250164552941477,285000.00000000006,285000.00000000006,34381.77853483876
87,0.12158003023986809,0.44,5.326614667741304,100,21.170073691162468,285000.0,285000.0,34650.3086183624
88,0.12251871274496474,0.445,5.346412586890833,100,21.09117730652703,285000.0,285000.0,34917.83313231495
89,0.12345391928182271,0.45,5.366064497582309,100,21.013444535472917,285000.00000000006,285000.00000000006,35184.36699531947
90,0.1243857008513981,0.455,5.385573064476445,100,20.93684564186575,285000.0,285000.0,35449.92474264846
91,0.1253141071584224,0.46,5.404940875212896,100,20.861351964021857,285000.0,285000.0,35714.52054015038
92,0.12623918665798362,0.465,5.424170443440075,100,20.786935864755243,285000.0,285000.0,35978.16819752533
93,0.1271609865999539,0.47000000000000003,5.443264211694817,100,20.713570684253487,285000.0,285000.0,36240.881180986864
94,0.12807955307138433,0.47500000000000003,5.46222455414086,100,20.641230695604726,285000.0,285000.0,36502.67262534454
95,0.12899493103698068,0.48,5.481053779174438,100,20.569891062770647,285000.0,285000.0,36763.5553455395
96,0.12990716437776595,0.485,5.499754131904768,100,20.499527800894274,285000.0,285000.0,37023.5418476633
97,0.13081629592802824,0.49,5.518327796516623,100,20.43011773873189,285000.0,285000.0,37282.64433948805
98,0.1317223675106472,0.495,5.536776898521744,100,20.361638483126132,285000.0,285000.0,37540.87474053445
99,0.1326254199708854,0.5,5.555103506905397,100,20.29406838537279,285000.0,285000.0,37798.24469170233
100,0.133525493208726,0.505,5.573309636173907,100,20.227386509335368,285000.0,285000.0,38054.7655644869
101,0.13442262620983314,0.51,5.591397248308711,100,20.161572601255493,285000.0,285000.0,38310.44846980243
102,0.13531685707520627,0.515,5.609368254632027,100,20.096607061105793,285000.0,285000.0,38565.30426643377
103,0.13620822304959584,0.52,5.627224517588965,100,20.03247091540106,285000.0,285000.0,38819.3435691348
104,0.13709676054874334,0.525,5.644967852450577,100,19.969145791411357,285000.0,285000.0,39072.576756391834
105,0.13798250518550498,0.53,5.662600028942081,100,19.9066138926549,285000.0,285000.0,39325.013977868904
106,0.1388654917949149,0.535,5.680122772800179,100,19.844857975602366,285000.0,285000.0,39576.66516155073
107,0.13974575445824022,0.54,5.697537767263232,100,19.78386132755507,285000.0,285000.0,39827.54002059845
108,0.1406233265260778,0.545,5.714846654497735,100,19.723607745575823,285000.0,285000.0,40077.648059932166
109,0.14149824064053876,0.55,5.732051036964396,100,19.664081516459916,285000.0,285000.0,40326.99858255353
110,0.142370528756565,0.555,5.749152478726885,100,19.60526739765232,285000.0,285000.0,40575.60069562102
111,0.14324022216241936,0.56,5.766152506706148,100,19.54715059908102,285000.0,285000.0,40823.46331628951
112,0.14410735149938797,0.5650000000000001,5.783052611883018,100,19.48971676584079,285000.0,285000.0,41070.595177325566
113,0.1449719467807323,0.5700000000000001,5.799854250451689,100,19.432951961693316,285000.0,285000.0,41317.0048325087
114,0.14583403740992537,0.5750000000000001,5.816558844926463,100,19.376842653318086,285000.0,285000.0,41562.70066182872
115,0.1466936521982054,0.58,5.833167785204057,100,19.32137569529958,285000.0,285000.0,41807.69087648853
116,0.14755081938147804,0.585,5.849682429583616,100,19.26653831578942,285000.0,285000.0,42051.98352372123
117,0.1484055666365963,0.59,5.866104105746458,100,19.212318102817203,285000.0,285000.0,42295.58649142993
118,0.1492579210970468,0.595,5.882434111697464,100,19.158702991211904,285000.0,285000.0,42538.507512658325
119,0.15010790936806837,0.6,5.898673716669935,100,19.105681250110898,285000.0,285000.0,42780.75416989947
120,0.150955557541228,0.605,5.914824161995604,100,19.05324147100809,285000.0,285000.0,43022.33389924996
121,0.15180089120847823,0.61,5.930886661941434,100,19.001372556330022,285000.0,285000.0,43263.25399441628
122,0.15264393547571825,0.615,5.946862404514723,100,18.950063708506097,285000.0,285000.0,43503.521610579686
123,0.15348471497588023,0.62,5.962752552237966,100,18.899304419506915,285000.0,285000.0,43743.143768125854
124,0.1543232538815612,0.625,5.978558242894836,100,18.849084460827832,285000.0,285000.0,43982.12735624493
125,0.1551595759172196,0.63,5.994280590248594,100,18.799393873892587,285000.0,285000.0,44220.479136407565
126,0.15599370437095497,0.635,6.009920684734138,100,18.75022296087026,285000.0,285000.0,44458.205745722145
127,0.15682566210588825,0.64,6.025479594124874,100,18.70156227585823,285000.0,285000.0,44695.31370017813
128,0.1576554715711589,0.645,6.040958364175502,100,18.65340261644154,285000.0,285000.0,44931.809397780264
129,0.15848315481255504,0.65,6.0563580192417685,100,18.60573501559604,285000.0,285000.0,45167.69912157817
130,0.15930873348279123,0.655,6.071679562878183,100,18.558550733912007,285000.0,285000.0,45402.98904259549
131,0.16013222885144832,0.66,6.086923978414637,100,18.511841252142272,285000.0,285000.0,45637.68522266275
132,0.1609536618145888,0.665,6.102092229512832,100,18.465598264043138,285000.0,285000.0,45871.79361715779
133,0.16177305290406097,0.67,6.117185260703356,100,18.419813669498474,285000.0,285000.0,46105.32007765735
134,0.16259042229650358,0.675,6.132203997904236,100,18.37447956792043,285000.0,285000.0,46338.2703545035
135,0.16340578982206352,0.68,6.14714934892172,100,18.32958825189889,285000.0,285000.0,46570.65009928808
